 n01440764	丁鯛
 n02165105	虎甲蟲
 n02165456	瓢蟲
 n02167151	土鱉蟲
 n02168699	天牛
 n02169497	龜甲蟲
 n02172182	糞甲蟲
 n02174001	犀牛甲蟲
 n02177972	象甲
 n02190166	蒼蠅
 n02206856	蜜蜂
 n02219486	螞蟻
 n02226429	蚱蜢
 n02229544	蟋蟀
 n02231487	竹節蟲
 n02233338	蟑螂
 n02236044	螳螂
 n02256656	蟬
 n02259212	葉蟬
 n02264363	草蜻蛉
 n02268443	蜻蜓
 n02268853	豆娘
 n02276258	優紅蛺蝶
 n02277742	小環蝴蝶
 n02279972	君主蝴蝶
 n02280649	菜粉蝶
 n02281406	白蝴蝶
 n02281787	灰蝶
 n02317335	海星
 n02319095	海膽
 n02321529	海參
 n02325366	野兔
 n02326432	兔
 n02328150	安哥拉兔
 n02342885	倉鼠
 n02346627	刺猬
 n02356798	黑松鼠
 n02361337	土撥鼠
 n02363005	海狸
 n02364673	豚鼠
 n02389026	栗色馬
 n02391049	斑馬
 n02395406	猪
 n02396427	野猪
 n02397096	疣猪
 n02398521	河馬
 n02403003	牛
 n02408429	水牛
 n02410509	野牛
 n02412080	公羊
 n02415577	大角羊
 n02417914	山羊
 n02422106	狷羚
 n02422699	黑斑羚
 n02423022	瞪羚
 n02437312	阿拉伯單峰駱駝
 n02437616	駱駝
 n02441942	黃鼠狼
 n02442845	水貂
 n02443114	臭猫
 n02443484	黑足鼬
 n02444819	水獺
 n02445715	臭鼬
 n02447366	獾
 n02454379	犰狳
 n02457408	樹懶
 n02480495	猩猩
 n02480855	大猩猩
 n02481823	黑猩猩
 n02483362	長臂猿
 n02483708	合趾猿長臂猿
 n02484975	長尾猴
 n02486261	赤猴
 n02486410	狒狒
 n02487347	恒河猴
 n02488291	白頭葉猴
 n02488702	疣猴
 n02489166	長鼻猴
 n02490219	狨（美洲産小型長尾猴）
 n02492035	卷尾猴
 n02492660	吼猴
 n02493509	伶猴
 n02493793	蜘蛛猴
 n02494079	松鼠猴
 n02497673	馬達加斯加環尾狐猴
 n02500267	大狐猴
 n02504013	印度大象
 n02504458	非洲象
 n02509815	小熊猫
 n02510455	大熊猫
 n02514041	杖魚
 n02526121	鰻魚
 n02536864	銀鮭
 n02606052	三色刺蝶魚
 n02607072	海葵魚
 n02640242	鱘魚
 n02641379	雀鱔
 n02643566	獅子魚
 n02655020	河豚
 n02666196	算盤
 n02667093	長袍
 n02669723	學位袍
 n02672831	手風琴
 n02676566	原聲吉他
 n02687172	航空母艦
 n02690373	客機
 n02692877	飛艇
 n02699494	祭壇
 n02701002	救護車
 n02704792	水陸兩用車
 n02708093	模擬時鐘
 n02727426	蜂房
 n02730930	圍裙
 n02747177	垃圾桶
 n02749479	攻擊步槍
 n02769748	背包
 n02776631	麵包店
 n02777292	平衡木
 n02782093	熱氣球
 n02783161	圓珠筆
 n02786058	創可貼
 n02787622	班卓琴
 n02788148	欄杆
 n02790996	杠鈴
 n02791124	理髮師的椅子
 n02791270	理髮店
 n02793495	牲口棚
 n02794156	晴雨錶
 n02795169	圓筒
 n02797295	園地小車
 n02799071	棒球
 n02802426	籃球
 n02804414	嬰兒床
 n02804610	巴松管
 n02807133	游泳帽
 n02808304	沐浴毛巾
 n02808440	浴缸
 n02814533	沙灘車
 n02814860	燈塔
 n02815834	高脚杯
 n02817516	熊皮高帽
 n02823428	啤酒瓶
 n02823750	啤酒杯
 n02825657	鐘塔
 n02834397	（小兒用的）圍嘴
 n02835271	串聯自行車
 n02837789	比基尼
 n02840245	裝訂册
 n02841315	雙筒望遠鏡
 n02843684	鳥舍
 n02859443	船庫
 n02860847	雪橇
 n02865351	飾扣式領帶
 n02869837	闊邊女帽
 n02870880	書橱
 n02871525	書店
 n02877765	瓶蓋
 n02879718	弓箭
 n02883205	蝴蝶結領結
 n02892201	銅制牌位
 n02892767	奶罩
 n02894605	防波堤
 n02895154	鎧甲
 n02906734	掃帚
 n02909870	桶
 n02910353	扣環
 n02916936	防彈背心
 n02917067	動車
 n02927161	肉鋪
 n02930766	出租車
 n02939185	大鍋
 n02948072	蠟燭
 n02950826	大炮
 n02951358	獨木舟
 n02951585	開瓶器
 n02963159	開衫
 n02965783	車鏡
 n02966193	旋轉木馬
 n02966687	木匠的工具包
 n02971356	紙箱
 n02974003	車輪
 n02977058	取款機
 n02978881	盒式錄音帶
 n02979186	卡帶播放器
 n02980441	城堡
 n02981792	雙體船
 n02988304	CD播放器
 n02992211	大提琴
 n02992529	移動電話
 n02999410	鐵煉
 n03000134	圍欄
 n03000247	鏈甲
 n03000684	電鋸
 n03014705	箱子
 n03016953	衣櫃
 n03017168	編鐘
 n03018349	中國橱櫃
 n03026506	聖誕襪
 n03028079	教堂
 n03032252	電影院
 n03041632	切肉刀
 n03042490	懸崖屋
 n03045698	斗篷
 n03047690	木屐
 n03062245	鶏尾酒調酒器
 n03063599	咖啡杯
 n03063689	咖啡壺
 n03065424	螺旋結構（樓梯）
 n03075370	組合鎖
 n03085013	電腦鍵盤
 n03089624	糖果
 n03095699	集裝箱船
 n03100240	敞篷車
 n03109150	開瓶器
 n03110669	短號
 n03124043	牛仔靴
 n03124170	牛仔帽
 n03125729	搖籃
 n03126707	起重機
 n03127747	頭盔
 n03127925	板條箱
 n03131574	小兒床
 n03133878	砂鍋
 n03134739	槌球
 n03141823	拐杖
 n03146219	胸甲
 n03160309	大壩
 n03179701	書桌
 n03180011	臺式電腦
 n03187595	有綫電話
 n03188531	尿布濕
 n03196217	數字時鐘
 n03197337	數字手表
 n03201208	餐桌板
 n03207743	抹布
 n03207941	洗碗機
 n03208938	盤式制動器
 n03216828	碼頭
 n03218198	狗拉雪橇
 n03220513	圓頂
 n03223299	門墊
 n03240683	鑽井平臺
 n03249569	鼓
 n03250847	鼓槌
 n03255030	啞鈴
 n03259280	荷蘭烤箱
 n03271574	電風扇
 n03272010	電吉他
 n03272562	電力機車
 n03290653	電視
 n03291819	信封
 n03297495	濃縮咖啡機
 n03314780	撲面粉
 n03325584	女用長圍巾
 n03337140	文件
 n03344393	消防船
 n03345487	消防車
 n03347037	火爐欄
 n03355925	旗杆
 n03372029	長笛
 n03376595	折叠椅
 n03379051	橄欖球頭盔
 n03384352	叉車
 n03388043	噴泉
 n03388183	鋼筆
 n03388549	有四根帷柱的床
 n03393912	運貨車厢
 n03394916	圓號
 n03400231	煎鍋
 n03404251	裘皮大衣
 n03417042	垃圾車
 n03424325	防毒面具
 n03425413	汽油泵
 n03443371	高脚杯
 n03444034	卡丁車
 n03445777	高爾夫球
 n03445924	高爾夫球車
 n03447447	狹長小船
 n03447721	鑼
 n03450230	禮服
 n03452741	鋼琴
 n03457902	溫室
 n03459775	散熱器格栅
 n03461385	雜貨店
 n03467068	斷頭臺
 n03476684	小髮夾
 n03476991	頭髮噴霧
 n03478589	半履帶裝甲車
 n03481172	錘子
 n03482405	大籃子
 n03483316	手搖鼓風機
 n03485407	手提電腦
 n03485794	手帕
 n03492542	硬盤
 n03494278	口琴
 n03495258	竪琴
 n03496892	收割機
 n03498962	斧頭
 n03527444	手槍皮套
 n03529860	家庭影院
 n03530642	蜂窩
 n03532672	鈎爪
 n03534580	襯裙
 n03535780	單杠
 n03538406	馬車
 n03544143	沙漏
 n03584254	iPod
 n03584829	熨斗
 n03590841	南瓜燈籠
 n03594734	牛仔褲
 n03594945	吉普車
 n03595614	運動衫
 n03598930	拼圖
 n03599486	人力車
 n03602883	操縱杆
 n03617480	和服
 n03623198	護膝
 n03627232	蝴蝶結
 n03630383	大褂
 n03633091	長柄勺
 n03637318	燈罩
 n03642806	筆記本電腦
 n03649909	割草機
 n03657121	鏡頭蓋
 n03658185	開信刀
 n03661043	圖書館
 n03662601	救生艇
 n03666591	點火器
 n03670208	豪華轎車
 n03673027	遠洋班輪
 n03676483	唇膏
 n03680355	平底便鞋
 n03690938	洗劑
 n03691459	揚聲器
 n03692522	放大鏡
 n03697007	鋸木廠
 n03706229	磁羅盤
 n03709823	郵袋
 n03710193	信箱
 n03710637	女游泳衣
 n03710721	有肩帶浴衣
 n03717622	窨井蓋
 n03720891	沙球（一種打擊樂器）
 n03721384	馬林巴木琴
 n03724870	面膜
 n03729826	火柴
 n03733131	花柱
 n03733281	迷宮
 n03733805	量杯
 n03742115	藥箱
 n03743016	巨石
 n03759954	麥克風
 n03761084	微波爐
 n03763968	軍裝
 n03764736	奶桶
 n03769881	迷你巴士
 n03770439	迷你裙
 n03770679	麵包車
 n03773504	導彈
 n03775071	連指手套
 n03775546	攪拌鉢
 n03776460	活動房屋（由汽車拖拉的）
 n03777568	T型發動機小汽車
 n03777754	調制解調器
 n03781244	修道院
 n03782006	顯示器
 n03785016	電瓶車
 n03786901	砂漿
 n03787032	學士
 n03788195	清真寺
 n03788365	蚊帳
 n03791053	摩托車
 n03792782	山地自行車
 n03792972	登山帳
 n03793489	鼠標
 n03794056	捕鼠器
 n03796401	搬家車
 n03803284	口套
 n03804744	釘子
 n03814639	頸托
 n03814906	項煉
 n03825788	乳頭（瓶）
 n03832673	筆記本
 n03837869	方尖碑
 n03838899	雙簧管
 n03840681	陶笛
 n03841143	里程表
 n03843555	濾油器
 n03854065	風琴
 n03857828	示波器
 n03866082	罩裙
 n03868242	牛車
 n03868863	氧氣面罩
 n03871628	包裝
 n03873416	船槳
 n03874293	明輪
 n03874599	挂鎖
 n03876231	畫筆
 n03877472	睡衣
 n03877845	宮殿
 n03884397	排簫
 n03887697	紙巾
 n03888257	降落傘
 n03888605	雙杠
 n03891251	公園長椅
 n03891332	停車收費表
 n03895866	客車
 n03899768	露臺
 n03902125	付費電話
 n03903868	基座
 n03908618	鉛筆盒
 n03908714	卷筆刀
 n03916031	香水（瓶）
 n03920288	培養皿
 n03924679	複印機
 n03929660	撥弦片
 n03929855	尖頂頭盔
 n03930313	栅欄
 n03930630	皮卡
 n03933933	橋墩
 n03935335	存錢罐
 n03937543	藥瓶
 n03938244	枕頭
 n03942813	乒乓球
 n03944341	風車
 n03947888	海盜船
 n03950228	水罐
 n03954731	木工刨
 n03956157	天文館
 n03958227	塑料袋
 n03961711	板架
 n03967562	犁型鏟雪機
 n03970156	手壓皮碗泵
 n03976467	寶麗來相機
 n03976657	電綫杆
 n03977966	警車
 n03980874	雨披
 n03982430	檯球桌
 n03983396	充氣飲料瓶
 n03991062	花盆
 n03992509	陶工旋盤
 n03995372	電鑽
 n03998194	祈禱墊
 n04004767	打印機
 n04005630	監獄
 n04008634	炮彈
 n04009552	投影儀
 n04019541	冰球
 n04023962	沙包
 n04026417	錢包
 n04033901	羽管筆
 n04033995	被子
 n04037443	賽車
 n04039381	球拍
 n04040759	散熱器
 n04041544	收音機
 n04044716	射電望遠鏡
 n04049303	雨桶
 n04065272	休閑車
 n04067472	卷軸
 n04069434	反射式照相機
 n04070727	冰箱
 n04074963	遙控器
 n04081281	餐廳
 n04086273	左輪手槍
 n04090263	步槍
 n04099969	搖椅
 n04111531	電轉烤肉架
 n04116512	橡皮
 n04118538	橄欖球
 n04118776	直尺
 n04120489	跑步鞋
 n04125021	保險櫃
 n04127249	安全別針
 n04131690	鹽瓶（調味用）
 n04133789	凉鞋
 n04136333	紗籠
 n04141076	薩克斯管
 n04141327	劍鞘
 n04141975	秤
 n04146614	校車
 n04147183	帆船
 n04149813	記分牌
 n04152593	屏幕
 n04153751	螺絲
 n04154565	螺絲刀
 n04162706	安全帶
 n04179913	縫紉機
 n04192698	盾牌
 n04200800	皮鞋店
 n04201297	障子
 n04204238	購物籃
 n04204347	購物車
 n04208210	鐵鍬
 n04209133	浴帽
 n04209239	浴簾
 n04228054	滑雪板
 n04229816	滑雪面罩
 n04235860	睡袋
 n04238763	滑尺
 n04239074	滑動門
 n04243546	角子老虎機
 n04251144	潜水通氣管
 n04252077	雪橇
 n04252225	掃雪機
 n04254120	皂液器
 n04254680	足球
 n04254777	襪子
 n04258138	碟式太陽能
 n04259630	寬邊帽
 n04263257	湯碗
 n04264628	空格鍵
 n04265275	空間加熱器
 n04266014	航天飛機
 n04270147	鏟（攪拌或塗敷用的）
 n04273569	快艇
 n04275548	蜘蛛網
 n04277352	紡錘
 n04285008	跑車
 n04286575	聚光燈
 n04296562	舞臺
 n04310018	蒸汽機車
 n04311004	鋼拱橋
 n04311174	鋼滾筒
 n04317175	聽診器
 n04325704	女用披肩
 n04326547	石頭墻
 n04328186	秒表
 n04330267	火爐
 n04332243	過濾器
 n04335435	有軌電車
 n04336792	擔架
 n04344873	沙發床
 n04346328	佛塔
 n04347754	潜艇
 n04350905	套裝
 n04355338	日晷
 n04355933	太陽鏡
 n04356056	太陽鏡
 n04357314	防曬霜
 n04366367	懸索橋
 n04367480	拖把
 n04370456	運動衫
 n04371430	游泳褲
 n04371774	秋千
 n04372370	開關
 n04376876	注射器
 n04380533	檯燈
 n04389033	坦克
 n04392985	磁帶播放器
 n04398044	茶壺
 n04399382	泰迪
 n04404412	電視
 n04409515	網球
 n04417672	茅草
 n04418357	幕布
 n04423845	頂針
 n04428191	脫粒機
 n04429376	寶座
 n04435653	瓦屋頂
 n04442312	烤麵包機
 n04443257	烟草店
 n04447861	馬桶
 n04456115	火炬
 n04458633	圖騰柱
 n04461696	拖車
 n04462240	玩具店
 n04465501	拖拉機
 n04467665	拖車
 n04476259	托盤
 n04479046	風衣
 n04482393	三輪車
 n04483307	三體船
 n04485082	三脚架
 n04486054	凱旋門
 n04487081	無軌電車
 n04487394	長號
 n04493381	浴盆
 n04501370	旋轉式栅門
 n04505470	打字機鍵盤
 n04507155	傘
 n04509417	獨輪車
 n04515003	直立式鋼琴
 n04517823	真空吸塵器
 n04522168	花瓶
 n04523525	拱頂
 n04525038	天鵝絨
 n04525305	自動售貨機
 n04532106	祭服
 n04532670	高架橋
 n04536866	小提琴
 n04540053	排球
 n04542943	松餅機
 n04548280	挂鐘
 n04548362	錢包
 n04550184	衣櫃
 n04552348	軍用飛機
 n04553703	洗臉盆
 n04554684	洗衣機
 n04557648	水瓶
 n04560804	水壺
 n04562935	水塔
 n04579145	威士忌壺
 n04579432	哨子
 n04584207	假髮
 n04589890	紗窗
 n04590129	百葉窗
 n04591157	溫莎領帶
 n04591713	葡萄酒瓶
 n04592741	飛機翅膀
 n04596742	炒菜鍋
 n04597913	木制的勺子
 n04599235	毛織品
 n04604644	栅欄
 n04606251	沉船
 n04612504	雙桅船
 n04613696	蒙古包
 n06359193	網站
 n06596364	漫畫
 n06785654	縱橫字謎
 n06794110	路標
 n06874185	交通信號燈
 n07248320	防塵罩
 n07565083	菜單
 n07579787	盤子
 n07583066	鰐梨醬
 n07584110	清湯
 n07590611	罐燜土豆燒肉
 n07613480	蛋糕
 n07614500	冰淇淋
 n07615774	雪糕
 n07684084	法式麵包
 n07693725	百吉餅
 n07695742	椒鹽脆餅
 n07697313	芝士漢堡
 n07697537	熱狗
 n07711569	土豆泥
 n07714571	結球甘藍
 n07714990	西蘭花
 n07715103	菜花
 n07716358	綠皮密生西葫蘆
 n07716906	西葫蘆
 n07717410	小青南瓜
 n07717556	南瓜
 n07718472	黃瓜
 n07718747	朝鮮薊
 n07720875	甜椒
 n07730033	刺棘薊
 n07734744	蘑菇
 n07742313	綠蘋果
 n07745940	草莓
 n07747607	橘子
 n07749582	檸檬
 n07753113	無花果
 n07753275	菠蘿
 n07753592	香蕉
 n07754684	菠蘿蜜
 n07760859	蛋奶凍蘋果
 n07768694	石榴
 n07802026	乾草
 n07831146	烤麵條加乾酪沙司
 n07836838	巧克力醬
 n07860988	麵團
 n07871810	瑞士肉包
 n07873807	披薩
 n07875152	餡餅
 n07880968	卷餅
 n07892512	紅葡萄酒
 n07920052	意大利濃咖啡
 n07930864	杯子
 n07932039	蛋酒
 n09193705	高山
 n09229709	泡泡
 n09246464	懸崖
 n09256479	珊瑚礁
 n09288635	間歇泉
 n09332890	湖邊
 n09399592	海角
 n09421951	沙洲
 n09428293	海濱
 n09468604	峽谷
 n09472597	火山
 n09835506	棒球
 n10148035	新郎
 n10565667	潜水員
 n11879895	油菜
 n11939491	雛菊
 n12057211	杓蘭
 n12144580	玉米
 n12267677	橡子
 n12620546	玫瑰果
 n12768682	七葉樹果實
 n12985857	珊瑚菌
 n12998815	木耳
 n13037406	鹿花菌
 n13040303	鬼筆菌
 n13044778	地星
 n13052670	多葉奇果菌
 n13054560	牛肝菌
 n13133613	玉米穗
 n15075141	衛生紙
